id,nr_isos,tool,error_rates
15_5, 15, RATTLE, 3.4345222222222223
11_5,11,isONform,0.18586363636363634
13_18,13,isONform,0.2213111111111111
5_11,5,isONform,0.7228571428571428
14_18,14,isONform,0.3008285714285715
15_6, 15, RATTLE, 4.713800000000001
12_8,12,isONform,0.190325
11_9, 11, RATTLE, 0.50557
15_7,15,isONform,0.5666800000000001
10_14,10,isONform,0.16709999999999997
10_3,10,isONform,0.14593
12_10,12,isONform,0.4327764705882353
11_17, 11, RATTLE, 1.1952
7_2, 7, RATTLE, 3.15494
4_9,4,isONform,0.33575
9_20, 9, RATTLE, 0.19310000000000002
10_15,10,isONform,0.29419999999999996
4_5,4,isONform,0.46052
11_7, 11, RATTLE, 5.38614
4_5, 4, RATTLE, 0.19727499999999998
3_13,3,isONform,0.43483333333333335
6_16, 6, RATTLE, 4.2913499999999996
9_15, 9, RATTLE, 1.6390624999999999
9_14, 9, RATTLE, 2.797416666666667
3_4, 3, RATTLE, 0.2920666666666667
4_8, 4, RATTLE, 2.0741666666666663
6_17, 6, RATTLE, 0.7425
8_6, 8, RATTLE, 3.394440000000001
10_16, 10, RATTLE, 0.21476666666666666
7_14,7,isONform,0.6833166666666667
4_6,4,isONform,0.26234
10_18,10,isONform,0.17612
11_11,11,isONform,0.12091818181818183
14_11,14,isONform,0.07757142857142856
15_4, 15, RATTLE, 1.9813583333333329
6_11, 6, RATTLE, 2.8488
7_10, 7, RATTLE, 0.6353333333333333
4_8,4,isONform,0.36884
7_3, 7, RATTLE, 2.47556
2_16,2,isONform,0.1778
4_7, 4, RATTLE, 0.19895000000000002
8_17,8,isONform,0.16541250000000002
9_14,9,isONform,0.1579222222222222
13_8,13,isONform,0.21676875
7_12,7,isONform,0.023042857142857143
12_17,12,isONform,0.5443538461538463
9_12, 9, RATTLE, 0.2865142857142858
11_15, 11, RATTLE, 8.288466666666665
9_3, 9, RATTLE, 0.70494
11_19,11,isONform,0.221075
8_7, 8, RATTLE, 0.64596
5_10,5,isONform,0.26854
11_20, 11, RATTLE, 1.6472999999999998
9_19, 9, RATTLE, 2.68476
10_6, 10, RATTLE, 1.665066666666667
13_19,13,isONform,0.11904615384615386
15_19,15,isONform,0.17567222222222223
6_10, 6, RATTLE, 0.6241166666666667
9_9, 9, RATTLE, 0.35405555555555557
3_8, 3, RATTLE, 1.4318
12_13, 12, RATTLE, 3.3061666666666665
3_15, 3, RATTLE, 0.23376666666666668
5_19,5,isONform,0.08771999999999999
8_18, 8, RATTLE, 0.5821666666666667
14_5,14,isONform,0.15376428571428574
13_20,13,isONform,0.7001812499999999
14_12, 14, RATTLE, 0.3340090909090909
14_1,14,isONform,0.07592857142857143
12_5, 12, RATTLE, 4.1903
13_5,13,isONform,0.20476923076923076
10_7, 10, RATTLE, 0.9559
13_9,13,isONform,0.2536076923076923
2_6, 2, RATTLE, 0.1656
7_20, 7, RATTLE, 0.4564833333333333
9_12,9,isONform,0.7032700000000001
12_3, 12, RATTLE, 0.21130833333333335
8_16,8,isONform,0.16758749999999997
10_19, 10, RATTLE, 4.318542857142857
12_19, 12, RATTLE, 2.6382
15_14, 15, RATTLE, 2.35935
3_16, 3, RATTLE, 0.041166666666666664
2_2, 2, RATTLE, 4.0323
15_13,15,isONform,0.15112
2_1, 2, RATTLE, 0.14105
3_16,3,isONform,0.2280333333333333
